results_matyas = [
-0.0491333 -0.0454712 9.28529e-005;
-0.000305176 -0.000305176 3.72529e-009;
-0.0100708 -0.00488281 8.96491e-006;
0.664062 0.626221 0.0170063;
0.0012207 0.0012207 5.96046e-008;
-0.000305176 -0.000305176 3.72529e-009;
-0.0100708 -0.0100708 4.05684e-006;
-0.0198364 -0.0183105 1.5134e-005;
0.00152588 0.00183105 1.35973e-007;
0.317383 0.292969 0.0038743;
0.00976562 0.00915527 3.67314e-006;
0 0 0;
-0.0183105 -0.0198364 1.5134e-005;
-0.1474 -0.158997 0.000972409;
-0.00152588 0 6.0536e-007;
0.0088501 0.00976562 3.675e-006;
-0.0393677 -0.0366211 5.96289e-005;
0.0976562 0.0900269 0.000366801;
0.0720215 0.078125 0.000234753;
0.0308228 0.0292969 3.67258e-005;
0 0 0;
0 0 0;
0.625 0.664062 0.0169983;
0.0012207 0.0012207 5.96046e-008;
0.21637 0.234375 0.00211276;
-0.0100708 -0.0100708 4.05684e-006;
-0.0784302 -0.0796509 0.000250269;
-0.23468 -0.205078 0.00215294;
-0.000305176 -0.000305176 3.72529e-009;
0.0830078 0.0765991 0.000265012;
0 0 0;
-0.0784302 -0.0671387 0.000243777;
-0.00152588 -0.000610352 2.55182e-007;
-0.0222778 -0.0204468 1.90921e-005;
0.0109863 0.0100708 4.64357e-006;
-0.00335693 -0.00335693 4.5076e-007;
-0.000915527 -0.000915527 3.35276e-008;
0 0 0;
-0.14679 -0.157166 0.000950802;
0.143738 0.15625 0.000939066;
-0.00335693 -0.00305176 4.33996e-007;
0.0393677 0.0363159 5.96084e-005;
-0.00183105 -0.00183105 1.3411e-007;
-0.0588989 -0.0543213 0.000133427;
0.3125 0.298462 0.00378201;
-0.0784302 -0.0723267 0.000236589;
-0.166321 -0.153503 0.00106395;
-0.0183105 -0.0198364 1.5134e-005;
0.00488281 0.00457764 9.18284e-007;
-0.022583 -0.0247192 2.35159e-005;
-0.0463867 -0.0588989 0.00014999;
-0.156555 -0.166321 0.00106633;
0.0390625 0.0363159 5.8705e-005;
-0.000915527 -0.000915527 3.35276e-008;
-0.0198364 -0.0183105 1.5134e-005;
-0.000305176 -0.000305176 3.72529e-009;
0.3125 0.3125 0.00390625;
0 0 0;
0.0195312 0.0198364 1.55214e-005;
-0.117493 -0.108337 0.000530947;
-0.156555 -0.161438 0.00101716;
-0.0735474 -0.0796509 0.00024401;
0.00518799 0.00488281 1.03749e-006;
0.15686 0.147095 0.000947729;
0.020752 0.0180054 1.69072e-005;
0.00823975 0.00976562 3.82401e-006;
0.078125 0.0717163 0.000234792;
-0.144043 -0.156555 0.000942731;
0.161743 0.150146 0.00100637;
0.0393677 0.0363159 5.96084e-005;
-0.0720215 -0.0784302 0.000236625;
0.00488281 0.00427246 9.31323e-007;
-0.0125122 -0.0115967 6.02193e-006;
0.0195312 0.0183105 1.46925e-005;
0 0 0;
0 0 0;
-0.0170898 -0.0247192 3.20319e-005;
-0.0466919 -0.0378418 9.10405e-005;
-0.0204468 -0.0204468 1.67228e-005;
-0.0393677 -0.0393677 6.19926e-005;
0 0 0;
0 0 0;
-0.000915527 -0.000915527 3.35276e-008;
0.00213623 0.00244141 2.32831e-007;
0 0 0;
-0.000915527 -0.000610352 4.65661e-008;
-0.00976562 -0.0112915 5.0161e-006;
-0.0198364 -0.0183105 1.5134e-005;
-0.000915527 -0.000915527 3.35276e-008;
0.0088501 0.00976562 3.675e-006;
0.00152588 0.00152588 9.31323e-008;
0.00976562 0.010376 4.14997e-006;
0 0 0;
0.0180054 0.0219727 1.99173e-005;
0 0 0;
0.00732422 0.00671387 2.06381e-006;
-0.00183105 -0.00274658 4.19095e-007;
0.0405884 0.0439453 7.42767e-005;
-0.000915527 -0.000915527 3.35276e-008;
-0.00305176 -0.00305176 3.72529e-007;
0.0234985 0.0253296 2.468e-005;
0.000305176 0.000305176 3.72529e-009;
0.000610352 0.000610352 1.49012e-008;
0.15625 0.15625 0.000976563;
-0.000915527 -0.000915527 3.35276e-008;
0.00213623 0.00244141 2.32831e-007;
-0.00946045 -0.0100708 3.90783e-006;
0.0198364 0.0183105 1.5134e-005;
0.0192261 0.020752 1.65645e-005;
0.0357056 0.0390625 5.87199e-005;
0.0170898 0.0195312 1.49012e-005;
-0.000305176 -0.000305176 3.72529e-009;
-0.0393677 -0.0363159 5.96084e-005;
0.0793457 0.078125 0.000248343;
-0.0796509 -0.083313 0.000268925;
0.0390625 0.0390625 6.10352e-005;
-0.0186157 -0.0198364 1.51582e-005;
0.0180054 0.0195312 1.46721e-005;
-0.312805 -0.288086 0.00376346;
-0.145264 -0.157776 0.000957469;
-0.000305176 -0.000305176 3.72529e-009;
-0.0198364 -0.0183105 1.5134e-005;
0.00213623 0.00244141 2.32831e-007;
-0.0201416 -0.0186157 1.56034e-005;
-0.000610352 -0.000610352 1.49012e-008;
0.0390625 0.0363159 5.8705e-005;
0.0195312 0.0180054 1.46721e-005;
0.0140381 0.0201416 2.09957e-005;
0.00244141 -0.000610352 2.36183e-006;
-0.0296021 -0.0274658 3.37083e-005;
-0.000915527 -0.000915527 3.35276e-008;
0.15625 0.15625 0.000976563;
-0.161438 -0.126343 0.0011361;
-0.00396729 -0.00366211 6.0536e-007;
-0.144653 -0.156555 0.000942679;
0.00915527 0.00976562 3.67314e-006;
0.0143433 0.0152588 8.97236e-006;
0.0390625 0.0289917 7.1669e-005;
0.0390625 0.0390625 6.10352e-005;
0.0366211 0.0390625 5.87702e-005;
-0.000305176 -0.000305176 3.72529e-009;
-0.00488281 -0.00518799 1.03749e-006;
0.00976562 0.00915527 3.67314e-006;
-0.000305176 -0.000305176 3.72529e-009;
-0.351868 -0.310059 0.00481846;
];
